City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,Galveston,29.3669,-94.9669,70.0,37,56,7.0,US,2022-12-14 21:52:25
233,Kaitangata,-46.2817,169.8464,59.27,81,100,4.07,NZ,2022-12-14 21:45:59
234,Burnie,-41.0667,145.9167,56.95,48,4,1.9,AU,2022-12-14 21:55:28
235,Chany,55.3121,76.7647,-17.07,99,19,3.96,RU,2022-12-14 21:55:29
236,Tual,-5.6667,132.75,83.37,70,52,3.15,ID,2022-12-14 21:55:29
237,Vicksburg,32.3526,-90.8779,57.43,94,100,12.66,US,2022-12-14 21:52:30
238,Lebu,-37.6167,-73.65,64.04,76,3,7.83,CL,2022-12-14 21:55:29
239,Teseney,15.11,36.6575,73.62,55,85,8.99,ER,2022-12-14 21:55:30
240,Toledo,39.8333,-4.0,50.36,89,100,9.08,ES,2022-12-14 21:55:30
241,Marawi,7.9986,124.2928,68.02,95,97,1.1,PH,2022-12-14 21:55:30
242,Zenzeli,45.9241,47.0474,34.84,81,100,6.31,RU,2022-12-14 21:55:31
243,Burgos,42.3394,-3.7079,48.61,93,75,3.44,ES,2022-12-14 21:55:31
244,Bud,39.447,-86.1758,50.02,98,100,14.0,US,2022-12-14 21:55:31
245,Jati,24.3539,68.2671,67.17,27,13,9.17,PK,2022-12-14 21:55:32
246,Biu,10.6129,12.1946,69.98,21,5,6.58,NG,2022-12-14 21:55:32
247,San Policarpo,12.1791,125.5072,80.6,84,100,10.27,PH,2022-12-14 21:55:33
248,College,64.8569,-147.8028,-1.88,87,87,3.15,US,2022-12-14 21:55:33
249,Montevideo,-34.8335,-56.1674,84.22,49,0,11.5,UY,2022-12-14 21:53:08
250,Necochea,-38.5473,-58.7368,71.78,55,100,5.7,AR,2022-12-14 21:55:34
251,Sangod,24.9167,76.2833,63.23,37,79,2.42,IN,2022-12-14 21:55:34
252,Kommunisticheskiy,61.6789,64.4819,11.17,81,12,9.04,RU,2022-12-14 21:55:34
253,Salamanca,40.8333,-6.0,48.79,92,100,11.16,ES,2022-12-14 21:55:35
254,Dingle,10.9995,122.6711,74.77,95,95,7.61,PH,2022-12-14 21:55:35
255,Rorvik,64.8621,11.2373,15.91,92,20,1.14,NO,2022-12-14 21:55:35
256,Kelvington,52.1667,-103.5343,10.99,96,100,9.51,CA,2022-12-14 21:55:36
257,Kerman,30.2832,57.0788,35.46,75,0,4.61,IR,2022-12-14 21:55:36
258,Shingu,33.7333,135.9833,37.08,68,6,6.26,JP,2022-12-14 21:55:36
259,Gornyy,55.1153,83.9059,-20.96,100,27,1.28,RU,2022-12-14 21:55:37
260,Severnyy,50.677,36.5532,19.44,93,40,6.71,RU,2022-12-14 21:55:37
261,Shetpe,44.1667,52.1167,33.62,75,19,5.3,KZ,2022-12-14 21:55:37
262,Bukama,-9.2,25.85,68.0,97,100,2.57,CD,2022-12-14 21:55:38
263,Vilhena,-12.7406,-60.1458,73.62,94,75,10.36,BR,2022-12-14 21:55:38
264,Khani,41.9563,42.9566,40.57,72,88,5.82,GE,2022-12-14 21:55:39
265,Turinsk,58.0458,63.696,4.44,94,6,8.95,RU,2022-12-14 21:55:39
266,Benguela,-12.5763,13.4055,76.1,77,94,2.75,AO,2022-12-14 21:55:39
267,Teeli,51.0333,90.2333,-18.02,79,12,2.82,RU,2022-12-14 21:55:40
268,Zima,53.9202,102.0442,5.32,83,100,14.92,RU,2022-12-14 21:55:40
269,Galesong,-5.3166,119.3661,75.22,84,97,5.93,ID,2022-12-14 21:55:40
270,Oktyabrskoye,43.0645,44.7417,33.94,100,97,2.24,RU,2022-12-14 21:55:41
271,Wanaka,-44.7,169.15,62.62,69,82,1.45,NZ,2022-12-14 21:55:41
272,Chegdomyn,51.1167,133.0167,-11.34,97,100,1.43,RU,2022-12-14 21:55:42
273,Beloha,-25.1667,45.05,73.54,79,13,5.44,MG,2022-12-14 21:55:42
274,Souillac,-20.5167,57.5167,73.78,94,75,3.44,MU,2022-12-14 21:55:43
275,Milazzo,38.2212,15.2383,67.17,76,39,1.01,IT,2022-12-14 21:55:43
276,Taltal,-25.4,-70.4833,71.13,70,24,5.91,CL,2022-12-14 21:56:43
277,Ahualulco,22.4,-101.1667,73.54,12,3,15.12,MX,2022-12-14 21:56:44
278,Beringovskiy,63.05,179.3167,-8.91,94,18,6.71,RU,2022-12-14 21:56:44
279,Kathmandu,27.7167,85.3167,52.02,87,75,2.3,NP,2022-12-14 21:52:27
280,Sakakah,29.9697,40.2064,56.77,57,50,5.82,SA,2022-12-14 21:56:44
281,Pensacola,30.4213,-87.2169,76.28,89,100,8.99,US,2022-12-14 21:56:45
282,Mawlaik,23.6333,94.4167,59.68,95,7,1.63,MM,2022-12-14 21:56:45
283,Deori Khas,23.4,79.0167,61.74,38,8,4.07,IN,2022-12-14 21:56:46
284,Wanning,18.8003,110.3967,63.36,80,100,10.02,CN,2022-12-14 21:56:46
